,id,description,direction_destinations,direction_names,long_name,short_name,type
107,94,Local Bus,"['Medford Square', 'Davis Station']","['Outbound', 'Inbound']",Medford Square - Davis Station,94,3
108,95,Local Bus,"['West Medford or Arlington Center', 'Sullivan Square Station']","['Outbound', 'Inbound']",West Medford or Arlington Center - Sullivan Square Station,95,3
109,96,Local Bus,"['Medford Square', 'Harvard Station']","['Outbound', 'Inbound']",Medford Square - Harvard Station,96,3
110,97,Local Bus,"['Malden Center Station', 'Wellington Station']","['Outbound', 'Inbound']",Malden Center Station - Wellington Station,97,3
111,99,Local Bus,"['Woodland Road', 'Wellington Station']","['Outbound', 'Inbound']",Woodland Road - Wellington Station,99,3
112,100,Local Bus,"['Elm Street', 'Wellington Station']","['Outbound', 'Inbound']",Elm Street - Wellington Station,100,3
113,101,Local Bus,"['Malden Center Station', 'Sullivan Square Station']","['Outbound', 'Inbound']",Malden Center Station - Sullivan Square Station via Winter Hill,101,3
114,104,Local Bus,"['Malden Center Station', 'Sullivan Square Station']","['Outbound', 'Inbound']",Malden Center Station - Sullivan Square Station via Ferry Street,104,3
115,105,Local Bus,"['Malden Center Station', 'Sullivan Square Station']","['Outbound', 'Inbound']",Malden Center Station - Sullivan Square Station via Newland Street Housing,105,3
116,106,Local Bus,"['Lebanon Loop', 'Wellington Station']","['Outbound', 'Inbound']",Lebanon Loop - Wellington Station,106,3
117,108,Local Bus,"['Linden Square', 'Wellington Station']","['Outbound', 'Inbound']",Linden Square - Wellington Station,108,3
118,109,Local Bus,"['Linden Square', 'Sullivan Square Station']","['Outbound', 'Inbound']",Linden Square - Sullivan Square Station,109,3
119,110,Local Bus,"['Wonderland Station', 'Wellington Station']","['Outbound', 'Inbound']",Wonderland Station - Wellington Station,110,3
120,111,Key Bus,"['Woodlawn', 'Haymarket Station']","['Outbound', 'Inbound']",Woodlawn - Haymarket Station,111,3
121,112,Local Bus,"['Wellington Station', 'Wood Island Station']","['Outbound', 'Inbound']",Wellington Station - Wood Island Station,112,3
122,114,Community Bus,"['Market Basket', 'Maverick Station']","['Outbound', 'Inbound']",Market Basket - Maverick Station,114,3
123,116,Key Bus,"['Wonderland Station', 'Maverick Station']","['Outbound', 'Inbound']",Wonderland Station - Maverick Station via Revere Street,116,3
