FID,Shape_Leng,shape_id,route_id,agency_id,route_shor,route_long,route_desc,route_type,route_url,route_colo,route_text,route_sort,route_fare,line_id,listed_rou,route_ty_1,Shape__Length
90,0.10875106352,1129916843,5aa28a07,1,14,modified - MF (Cleary Sq-American Legion Hwy-Nubian), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,14605.258602507
91,0.10532203754,1129916844,268c9144,1,36,modified - MF (Dedham Mall-VA Hospital-Forest Hills), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,13524.9754031609
92,0.115427230918,1129916845,268c9144,1,36,modified - MF (Dedham Mall-VA Hospital-Forest Hills), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,14730.1483505222
93,0.107041038457,1129916846,c5e903d4,1,35,- MF (Dedham Mall-Centre St-Forest Hills), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,13636.1118012515
94,0.106058987192,1129916847,c5e903d4,1,35,- MF (Dedham Mall-Centre St-Forest Hills), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,13608.6991455305
95,0.19189979948,1129916848,04c009b8,1,455,modified - MF (Salem-Swampscott-Wonderland), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,24989.9596671617
96,0.182590211031,1129916849,04c009b8,1,455,modified - MF (Salem-Swampscott-Wonderland), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,23806.4089252371
97,0.0644356644548,1129916850,0a85209c,1,30,- MF (Mattapan-Forest Hills), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,8094.39801623908
98,0.0672012171591,1129916851,0a85209c,1,30,- MF (Mattapan-Forest Hills), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,8496.62341657619
99,0.0891026872988,1129916852,3f295b6e,1,210,modified - MF (Quincy-North Quincy-Ashmont), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,11307.2289158134
100,0.0887156924882,1129916853,3f295b6e,1,210,modified - MF (Quincy-North Quincy-Ashmont), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,11299.5974524945
101,0.0821004733591,1129916854,1d1e6228,1,236,modified - WF+ (Braintree-Quincy), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,10592.5415158437
102,0.0812426028524,1129916855,1d1e6228,1,236,modified - WF+ (Braintree-Quincy), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,10422.0678600922
103,0.0560462564081,1129916856,58f31d7e,1,11,modified - WF+ (South Boston-Broadway), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,6846.92758742263
104,0.062809703829,1129916857,58f31d7e,1,11,modified - WF+ (South Boston-Broadway), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,7631.30297505975
105,0.218926264914,1129916858,0635f1b3,1,61,modified - WF (Waltham-Watertown), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,27416.7592862695
106,0.149259752951,1129916859,0635f1b3,1,61,modified - WF (Waltham-Watertown), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,19182.0635915522
107,0.177914143734,1129916860,db3ddb26,1,54,- MF (Arlington-Waltham-Riverside), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,22915.9662236248
108,0.180734585151,1129916861,db3ddb26,1,54,- MF (Arlington-Waltham-Riverside), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,23277.5565137056
109,0.166825126936,1129916862,8649e7d7,1,217,- XF (Quincy-Milton-Ashmont), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,20825.3989124553
110,0.155323668526,1129916863,8649e7d7,1,217,- XF (Quincy-Milton-Ashmont), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,20286.5766115996
111,0.0661927941228,1129916864,25c85705,1,225,(variant) - WF+ (Quincy Center-South St-Weymouth Landing)), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,8531.83490223101
112,0.0911606034261,1129916865,25c85705,1,225,(variant) - WF+ (Quincy Center-South St-Weymouth Landing)), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,11955.9268234142
113,0.155455424058,1129916866,ea79dd12,1,504,- XF2 (Watertown-Downtown), ,3, ,5A8400,ffffff, ,Inner Express, , ,Bus,18177.881740653
114,0.145319428523,1129916867,ea79dd12,1,504,- XF2 (Watertown-Downtown), ,3, ,5A8400,ffffff, ,Inner Express, , ,Bus,16961.0975759275
115,0.179339441107,1129916868,fe061384,1,501,- XF2 (Brighton-Downtown), ,3, ,613FA6,ffffff, ,Inner Express, , ,Bus,20876.4350848219
116,0.185948102601,1129916869,fe061384,1,501,- XF2 (Brighton-Downtown), ,3, ,613FA6,ffffff, ,Inner Express, , ,Bus,21554.6882293296
117,0.163569355839,1129916870,e6ed88ab,1,24,modified - MF (Dedham Mall-Hyde Park-Mattapan-Ashmont), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,20076.754600292
118,0.163298324194,1129916871,e6ed88ab,1,24,modified - MF (Dedham Mall-Hyde Park-Mattapan-Ashmont), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,19812.2012476753
119,0.0655378657179,1129916872,d2883021,1,21,- MF (Ashmont-Forest Hills), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,8201.28955199069
120,0.0647919333581,1129916873,d2883021,1,21,- MF (Ashmont-Forest Hills), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,8139.66171262375
121,0.0837565984779,1129916874,ad839768,1,42,modified - MF (Forest Hills-Nubian-Broadway), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,10518.1220337944
122,0.0861674090737,1129916875,ad839768,1,42,modified - MF (Forest Hills-Nubian-Broadway), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,11018.6403423872
123,0.128364313734,1129916876,355188f2,1,215,modified - MF (Quincy Center-East Milton-Fields Corner), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,16674.9046984574
124,0.131552679841,1129916877,355188f2,1,215,modified - MF (Quincy Center-East Milton-Fields Corner), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,17051.2867374492
125,0.0633275494307,1129916878,03d393e5,1,26,modified - MF (Mattapan-Fields Corner), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,8367.12079784714
126,0.0708928734462,1129916879,03d393e5,1,26,modified - MF (Mattapan-Fields Corner), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,9361.44787027484
127,0.0971775072708,1129916880,95b5fb47,1,95,modified - MF (Arlington-Medford-Wellington), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,11476.1074891728
128,0.103235552829,1129916881,95b5fb47,1,95,modified - MF (Arlington-Medford-Wellington), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,12317.3780292346
129,0.175240760055,1129916882,3c42249d,1,120,modified - MF (Winthrop-Maverick), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,21238.7565734338
130,0.150361216693,1129916883,3c42249d,1,120,modified - MF (Winthrop-Maverick), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,18627.4878727478
131,0.166067057095,1129916884,579c9dab,1,119,modified - MF (Winthrop-Revere), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,20363.7027510791
132,0.15741182055,1129916885,579c9dab,1,119,modified - MF (Winthrop-Revere), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,19262.7957738342
133,0.124618113527,1129916886,dd40a6ff,1,106,modified - MF (Lebanon Loop-Wellington), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,15385.4991084604
134,0.107553713645,1129916887,dd40a6ff,1,106,modified - MF (Lebanon Loop-Wellington), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,13520.421195283
135,0.164510799012,1129916888,29f549c5,1,137,modified - WF+ (Reading-Wakefield-Malden), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,22145.30183229
136,0.149560503142,1129916889,29f549c5,1,137,modified - WF+ (Reading-Wakefield-Malden), ,3, ,A92023,ffffff, ,Local Bus, , ,Bus,20785.155943576
137,0.127101181648,1129916890,bb6f4e39,1,100,modified - WF+ (Medford-Fellsway-Wellington), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,16361.0319600195
138,0.123241599383,1129916891,bb6f4e39,1,100,modified - WF+ (Medford-Fellsway-Wellington), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,15932.9954952069
139,0.215086549576,1129916892,526904f0,1,94,modified - WF+ (Burlington-Woburn-Winchester-Davis), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,28015.6576010893
140,0.214633666665,1129916893,526904f0,1,94,modified - WF+ (Burlington-Woburn-Winchester-Davis), ,3, ,5A8400,ffffff, ,Local Bus, , ,Bus,28008.7477839403
141,0.0703788434734,1129916894,7d48965d,1,83,modified - MF (Rindge-Porter-Inman-Kendall), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,8617.4683852238
142,0.0716618908955,1129916895,7d48965d,1,83,modified - MF (Rindge-Porter-Inman-Kendall), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,8775.49085484936
143,0.249994317111,1129916896,bfab809e,1,34E,modified - WF+ (Walpole-Dedham-Forest Hills), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,32377.4629533798
144,0.248510237925,1129916897,bfab809e,1,34E,modified - WF+ (Walpole-Dedham-Forest Hills), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,32263.1383003291
145,0.112895727116,1129916898,981f803e,1,216,- MF (Houghs Neck-Quincy), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,11934.5783026358
146,0.114714787805,1129916899,981f803e,1,216,- MF (Houghs Neck-Quincy), ,3, ,A72051,ffffff, ,Local Bus, , ,Bus,11834.9216155881
147,0.108162675259,1129916900,9beade22,1,237,- WF+ (South Shore Plaza-Quincy), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,14631.6625276344
148,0.108491607819,1129916901,9beade22,1,237,- WF+ (South Shore Plaza-Quincy), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,14719.9561183317
149,0.0476043300621,1129916902,050ef028,1,43,- YF (Ruggles-Park Street), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,6055.64770999603
150,0.0356805539467,1129916903,050ef028,1,43,- YF (Ruggles-Park Street), ,3, ,007DBD,ffffff, ,Local Bus, , ,Bus,4594.26928229873
151,0.149281057985,1129916904,f8726627,1,714,modified - WF (Hull-Hingham), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,18601.9684462948
152,0.151297343511,1129916905,f8726627,1,714,modified - WF (Hull-Hingham), ,3, ,005BAA,ffffff, ,Local Bus, , ,Bus,18986.5243740804
153,0.18704394593,1129916906,354986e4,1,716,- YF (Cobbs Corner-Canton-Mattapan), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,23900.9815420584
154,0.188026059712,1129916907,354986e4,1,716,- YF (Cobbs Corner-Canton-Mattapan), ,3, ,613FA6,ffffff, ,Local Bus, , ,Bus,24046.0822301485
155,0.192494603419,1129916908,0209c42e,1,450,modified - MF (Salem-Lynn-Wonderland), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,25149.7664960645
156,0.184661564677,1129916909,0209c42e,1,450,modified - MF (Salem-Lynn-Wonderland), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,24108.618155624
157,0.0994229788577,1129916910,e276ae5c,1,439,modified - YF (Nahant-Lynn), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,12757.205041166
158,0.0502880532309,1129916911,e276ae5c,1,439,modified - YF (Nahant-Lynn), ,3, ,C9500E,ffffff, ,Local Bus, , ,Bus,6975.06087719288
159,0.168651008392,1129916912,1671039b,1,131,modified - MF (Melrose-Saugus-Lynn), ,3, ,066A40,ffffff, ,Local Bus, , ,Bus,20749.4218484429
